POSTYPE,MATNR,OWNER,OWNER_ROLE,BATCH,CAT,STOCK_DOCCAT,STOCK_DOCNO,STOCK_ITMNO,STOCK_USAGE,ENTITELED,ENTITLED_ROLE,COO,QUAN,UNIT,HUTYP,LGPLA,GR_DATE,GR_TIME,VFDAT,PMAT,EXTNO,HUIDENT,PARHUIDENT,TOPHUIDENT,ROW,REFROW,G_WEIGHT,N_WEIGHT,UNIT_GW,T_WEIGHT,UNIT_TW,G_VOLUME,N_VOLUME,UNIT_GV,T_VOLUME,UNIT_TV,G_CAPA,N_CAPA,T_CAPA,LENGTH,WIDTH,HEIGHT,UNIT_LWH,MAX_WEIGHT,TOLW,TARE_VAR,MAX_VOLUME,TOLV,CLOSED_PACKAGE,MAX_CAPA,MAX_LENGTH,MAX_WIDTH,MAX_HEIGHT,UNIT_MAX_LWH,SERNR,CWQUAN,CWUNIT,CWEXACT,LOGPOS,UII,AMOUNT_LC,DUMMY_ISU,ZEUGN
4,8154,NE00,BP,4169428220,1,,,,,NE00,BP,,74,CS,,19-055-1,20240911,,20250910,,,350103471816540332,350103471816540332,350103471816540332,26,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,19-056-1,,,,NPALLET-E1,X,376130308202792737,376130308202792737,376130308202792737,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9303,NE00,BP,2466083,1,,,,,NE00,BP,,18,CS,,19-056-1,20240920,,20261130,,,376130308202792737,376130308202792737,376130308202792737,28,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,19-057-1,,,,NPALLET-E1,X,340055001841971495,340055001841971495,340055001841971495,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10917,NE00,BP,4185428220,1,,,,,NE00,BP,,39,CS,,19-057-1,20240909,,20250628,,,340055001841971495,340055001841971495,340055001841971495,30,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,19-058-1,,,,NPALLET-E1,X,087139750000020301,087139750000020301,087139750000020301,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9334,NE00,BP,2465874,1,,,,,NE00,BP,,67,CS,,19-058-1,20240911,,20261130,,,087139750000020301,087139750000020301,087139750000020301,32,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,19-059-1,,,,NPALLET-E1,X,376130446126177459,376130446126177459,376130446126177459,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8068,NE00,BP,40700346GA,1,,,,,NE00,BP,,36,CS,,19-059-1,20240820,,20260331,,,376130446126177459,376130446126177459,376130446126177459,34,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,19-060-1,,,,NPALLET-E1,X,350103471816137662,350103471816137662,350103471816137662,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10919,NE00,BP,4154428220,1,,,,,NE00,BP,,5,CS,,19-060-1,20240729,,20260630,,,350103471816137662,350103471816137662,350103471816137662,36,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,19-062-1,,,,NPALLET-E1,X,350103471705162249,350103471705162249,350103471705162249,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7894,NE00,BP,2364447,1,,,,,NE00,BP,,19,CS,,19-062-1,20240722,,20250430,,,350103471705162249,350103471705162249,350103471705162249,38,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,19-063-1,,,,NPALLET-E1,X,376130308202620085,376130308202620085,376130308202620085,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
